ACT_MATH,SAT_MATH,MATH_PLCMNT,MaxOfMATH_TERM,MATH_SUBJ,MATH_CRSE,Math_Grde,MaxOfSTAT_TERM,STAT_SUBJ,STAT_CRSE,Stat_Grde,APCALCGRDE,APSTATGRDE,PREVGPA,curric,GPAgrade
22,NA,NA,201470,M,161Q,A,NA,,,,,,4,MSU.0,4
29,NA,2,201430,M,121Q,A,NA,,,,,,3.4,MSU.0,4
29,NA,2,201430,M,121Q,A,NA,,,,,,3.4,MSU.0,4
21,NA,NA,201370,M,151Q,B+,NA,,,,,,3.34,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
NA,NA,3.5,NA,,,,NA,,,,,,4,MSU.0,4
30,640,NA,201430,M,171Q,C,NA,,,,,,2.83,MSU.0,4
NA,650,NA,201470,M,161Q,A-,NA,,,,,,3.69,MSU.0,4
33,NA,NA,201470,M,161Q,A-,NA,,,,,,3.57,MSU.0,4
33,NA,NA,201470,M,161Q,A-,NA,,,,,,3.57,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
34,NA,NA,201370,M,161Q,A,NA,,,,,,4,MSU.0,4
NA,500,NA,201530,M,161Q,B+,NA,,,,,,3.86,MSU.0,3.7
NA,500,NA,201530,M,161Q,B+,NA,,,,,,3.86,MSU.0,3.7
NA,500,NA,201530,M,161Q,B+,NA,,,,,,3.86,MSU.0,3.7
NA,500,NA,201530,M,161Q,B+,NA,,,,,,3.86,MSU.0,3.7
25,NA,NA,201470,M,161Q,B,NA,,,,,,3.53,MSU.0,3.7
25,NA,NA,201470,M,161Q,B,NA,,,,,,3.53,MSU.0,3.7
24,NA,NA,201470,M,132,A,NA,,,,,,3.92,MSU.0,3.7
24,NA,NA,201470,M,132,A,NA,,,,,,3.92,MSU.0,3.7
24,NA,NA,201470,M,132,A,NA,,,,,,3.92,MSU.0,3.7
24,NA,NA,201470,M,132,A,NA,,,,,,3.92,MSU.0,3.7
24,NA,NA,201470,M,132,A,NA,,,,,,3.92,MSU.0,3.7
25,520,NA,201530,M,274,B-,NA,,,,,,3.69,MSU.0,3.7
32,NA,5,NA,,,,NA,,,,,,3.31,MSU.0,3.7
35,NA,NA,NA,,,,NA,,,,TP,,3.38,MSU.0,3.7
NA,620,NA,201370,M,161Q,C+,NA,,,,,,3.5,MSU.0,3.7
NA,620,NA,201370,M,161Q,C+,NA,,,,,,3.5,MSU.0,3.7
NA,620,NA,201370,M,161Q,C+,NA,,,,,,3.5,MSU.0,3.7
32,NA,NA,201470,M,161Q,B+,NA,,,,,,2.7,MSU.0,3.7
NA,NA,NA,201470,M,161Q,B,NA,,,,,,3.06,MSU.0,3.7
NA,NA,NA,201470,M,161Q,B,NA,,,,,,3.06,MSU.0,3.7
NA,NA,NA,201470,M,161Q,B,NA,,,,,,3.06,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,,,3.7,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,,,3.7,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,,,3.7,MSU.0,3.7
30,NA,NA,201430,M,171Q,C,NA,,,,,,2.98,MSU.0,3.7
30,NA,NA,201430,M,171Q,C,NA,,,,,,2.98,MSU.0,3.7
30,NA,NA,201430,M,171Q,C,NA,,,,,,2.98,MSU.0,3.7
30,NA,NA,201430,M,171Q,C,NA,,,,,,2.98,MSU.0,3.7
30,NA,NA,201430,M,171Q,C,NA,,,,,,2.98,MSU.0,3.7
30,NA,NA,201430,M,171Q,C,NA,,,,,,2.98,MSU.0,3.7
25,NA,NA,201330,M,166Q,A,NA,,,,,,3.69,MSU.0,3.7
23,NA,NA,201430,M,121Q,B,NA,,,,,,3.16,MSU.0,3.7
23,NA,NA,201430,M,121Q,B,NA,,,,,,3.16,MSU.0,3.7
NA,670,NA,NA,,,,NA,,,,,,3.91,MSU.0,3.7
NA,670,NA,NA,,,,NA,,,,,,3.91,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
NA,NA,NA,NA,,,,NA,,,,TB+,TC,4,MSU.0,3.7
18,NA,NA,200530,MATH,182Q,C,NA,,,,TP,,1.6,MSU.0,3.7
26,570,NA,201470,M,221,B,NA,,,,,,3.7,MSU.0,3.7
26,570,NA,201470,M,221,B,NA,,,,,,3.7,MSU.0,3.7
26,570,NA,201470,M,221,B,NA,,,,,,3.7,MSU.0,3.7
NA,NA,NA,201470,M,161Q,C,NA,,,,,,2.73,MSU.0,3.7
22,NA,NA,201430,M,182Q,C,NA,,,,,,2.64,MSU.0,3.7
22,NA,NA,201430,M,182Q,C,NA,,,,,,2.64,MSU.0,3.7
22,NA,NA,201430,M,182Q,C,NA,,,,,,2.64,MSU.0,3.7
22,NA,NA,201430,M,182Q,C,NA,,,,,,2.64,MSU.0,3.7
22,NA,NA,201430,M,182Q,C,NA,,,,,,2.64,MSU.0,3.7
21,NA,NA,201470,M,161Q,B,NA,,,,,,3.2,MSU.0,3.7
21,NA,NA,201470,M,161Q,B,NA,,,,,,3.05,MSU.0,3.7
17,NA,2,201230,M,121Q,C,NA,,,,,,3.24,MSU.0,3.7
24,NA,NA,201470,M,161Q,A,NA,,,,,,3.77,MSU.0,3.7
27,NA,NA,NA,,,,NA,,,,,,3.59,MSU.0,3
22,NA,NA,201470,M,171Q,C,NA,,,,,,2.63,MSU.0,3
22,NA,NA,201470,M,171Q,C,NA,,,,,,2.63,MSU.0,3
21,530,NA,201170,M,161Q,B+,NA,,,,,,3.36,MSU.0,3
21,530,NA,201170,M,161Q,B+,NA,,,,,,3.36,MSU.0,3
21,530,NA,201170,M,161Q,B+,NA,,,,,,3.36,MSU.0,3
NA,480,1,201470,M,161Q,C,NA,,,,,,3.15,MSU.0,3
NA,480,1,201470,M,161Q,C,NA,,,,,,3.15,MSU.0,3
32,NA,NA,201470,M,161Q,C+,NA,,,,,,3.48,MSU.0,3
22,NA,4,201470,M,161Q,B,NA,,,,,,3.18,MSU.0,3
22,NA,4,201470,M,161Q,B,NA,,,,,,3.18,MSU.0,3
22,NA,4,201470,M,161Q,B,NA,,,,,,3.18,MSU.0,3
29,NA,NA,201470,M,171Q,B+,NA,,,,TP,,2.88,MSU.0,3
29,NA,NA,201470,M,171Q,B+,NA,,,,TP,,2.88,MSU.0,3
19,NA,NA,201470,M,161Q,B,NA,,,,,,3.43,MSU.0,3
19,NA,NA,201470,M,161Q,B,NA,,,,,,3.43,MSU.0,3
19,NA,NA,201470,M,161Q,B,NA,,,,,,3.43,MSU.0,3
19,NA,NA,201470,M,161Q,B,NA,,,,,,3.43,MSU.0,3
19,NA,NA,201470,M,161Q,B,NA,,,,,,3.43,MSU.0,3
19,NA,NA,201470,M,161Q,B,NA,,,,,,3.43,MSU.0,3
24,600,1,201470,M,121Q,B+,NA,,,,,,3.07,MSU.0,3
24,600,1,201470,M,121Q,B+,NA,,,,,,3.07,MSU.0,3
29,NA,NA,201470,M,161Q,B+,NA,,,,,,3.14,MSU.0,3
29,NA,NA,201470,M,161Q,B+,NA,,,,,,3.14,MSU.0,3
29,NA,NA,201470,M,161Q,B+,NA,,,,,,3.14,MSU.0,3
30,NA,NA,201470,M,161Q,A-,NA,,,,,,2.94,MSU.0,3
22,560,NA,201470,M,161Q,B-,NA,,,,,,3.35,MSU.0,3
22,560,NA,201470,M,161Q,B-,NA,,,,,,3.35,MSU.0,3
27,NA,NA,201430,M,161Q,B+,NA,,,,,,3.41,MSU.0,3
20,NA,NA,201370,M,171Q,C,NA,,,,,,2.44,MSU.0,3
20,NA,NA,201370,M,171Q,C,NA,,,,,,2.44,MSU.0,3
20,NA,NA,201370,M,171Q,C,NA,,,,,,2.44,MSU.0,3
23,NA,NA,201370,M,121Q,A,NA,,,,,,2.92,MSU.0,3
23,NA,NA,201370,M,121Q,A,NA,,,,,,2.92,MSU.0,3
23,NA,NA,201370,M,121Q,A,NA,,,,,,2.92,MSU.0,3
22,NA,NA,NA,,,,NA,,,,,,3.25,MSU.0,3
25,580,NA,201470,M,121Q,B,NA,,,,,,2.23,MSU.0,3
25,580,NA,201470,M,121Q,B,NA,,,,,,2.23,MSU.0,3
29,NA,NA,NA,,,,NA,,,,TP,,3.92,MSU.0,3
29,NA,NA,NA,,,,NA,,,,TP,,3.92,MSU.0,3
29,NA,NA,NA,,,,NA,,,,TP,,3.92,MSU.0,3
29,NA,NA,NA,,,,NA,,,,TP,,3.92,MSU.0,3
29,NA,NA,NA,,,,NA,,,,TP,,3.92,MSU.0,3
15,470,4,NA,,,,NA,,,,,,3.06,MSU.0,3
15,470,4,NA,,,,NA,,,,,,3.06,MSU.0,3
15,470,4,NA,,,,NA,,,,,,3.06,MSU.0,3
NA,NA,NA,201230,M,161Q,C,NA,,,,,,3.52,MSU.0,3
26,NA,NA,NA,,,,NA,,,,,,3.39,MSU.0,3
22,NA,4,201470,M,161Q,A-,NA,,,,,,3.45,MSU.0,3
NA,580,NA,NA,,,,NA,,,,,,3.18,MSU.0,3
NA,580,NA,NA,,,,NA,,,,,,3.18,MSU.0,3
NA,580,NA,NA,,,,NA,,,,,,3.18,MSU.0,3
NA,660,NA,NA,,,,NA,,,,,,3.86,MSU.0,3
NA,660,NA,NA,,,,NA,,,,,,3.86,MSU.0,3
NA,660,NA,NA,,,,NA,,,,,,3.86,MSU.0,3
NA,660,NA,NA,,,,NA,,,,,,3.86,MSU.0,3
24,NA,NA,201470,M,161Q,A-,NA,,,,,,3.57,MSU.0,3
24,NA,NA,201470,M,161Q,A-,NA,,,,,,3.57,MSU.0,3
26,NA,NA,NA,,,,NA,,,,TA,,3.73,MSU.0,3
26,NA,NA,NA,,,,NA,,,,TA,,3.73,MSU.0,3
25,NA,NA,201470,M,161Q,B-,NA,,,,,,2.04,MSU.0,3
NA,480,NA,201470,M,121Q,B+,NA,,,,,,2.81,MSU.0,3
NA,NA,NA,201530,M,161Q,A,NA,,,,,,3.46,MSU.0,3
NA,NA,NA,201530,M,161Q,A,NA,,,,,,3.46,MSU.0,3
NA,NA,NA,201530,M,161Q,A,NA,,,,,,3.46,MSU.0,3
24,NA,NA,201470,M,161Q,A-,NA,,,,,,3.48,MSU.0,3
NA,500,NA,NA,,,,NA,,,,,,3.94,MSU.0,3
NA,500,NA,NA,,,,NA,,,,,,3.94,MSU.0,3
NA,500,NA,NA,,,,NA,,,,,,3.94,MSU.0,3
24,600,5,201430,M,161Q,C,NA,,,,,,2.37,MSU.0,2.7
24,600,5,201430,M,161Q,C,NA,,,,,,2.37,MSU.0,2.7
24,600,5,201430,M,161Q,C,NA,,,,,,2.37,MSU.0,2.7
24,600,5,201430,M,161Q,C,NA,,,,,,2.37,MSU.0,2.7
24,600,5,201430,M,161Q,C,NA,,,,,,2.37,MSU.0,2.7
NA,660,NA,201470,M,161Q,A-,NA,,,,,,3.2,MSU.0,2.7
NA,580,NA,NA,,,,NA,,,,,,1.99,MSU.0,2.7
NA,580,NA,NA,,,,NA,,,,,,1.99,MSU.0,2.7
27,710,3,201470,M,121Q,C,NA,,,,,,3.14,MSU.0,2.7
27,710,3,201470,M,121Q,C,NA,,,,,,3.14,MSU.0,2.7
27,710,3,201470,M,121Q,C,NA,,,,,,3.14,MSU.0,2.7
23,NA,1,201430,M,145Q,B+,NA,,,,,,3.32,MSU.0,2.7
19,NA,3,201370,M,161Q,C,NA,,,,,,2.45,MSU.0,2.7
15,NA,3,201330,M,145Q,B+,NA,,,,,,3.64,MSU.0,2.7
15,NA,3,201330,M,145Q,B+,NA,,,,,,3.64,MSU.0,2.7
15,NA,3,201330,M,145Q,B+,NA,,,,,,3.64,MSU.0,2.7
NA,600,NA,201370,M,151Q,B,NA,,,,,,3.1,MSU.0,2.7
NA,600,NA,201370,M,151Q,B,NA,,,,,,3.1,MSU.0,2.7
NA,NA,NA,NA,,,,NA,,,,,TD,2.41,MSU.0,2.7
20,NA,NA,201470,M,161Q,B-,NA,,,,,,3.06,MSU.0,2.7
20,NA,NA,201470,M,161Q,B-,NA,,,,,,3.06,MSU.0,2.7
20,NA,NA,201470,M,161Q,B-,NA,,,,,,3.06,MSU.0,2.7
NA,NA,NA,201430,M,161Q,C,NA,,,,,,3.15,MSU.0,2.7
NA,NA,NA,201430,M,161Q,C,NA,,,,,,3.15,MSU.0,2.7
19,NA,3.5,201430,M,96,B+*,NA,,,,,,3.08,MSU.0,2.7
19,NA,3.5,201430,M,96,B+*,NA,,,,,,3.08,MSU.0,2.7
19,NA,3.5,201430,M,96,B+*,NA,,,,,,3.08,MSU.0,2.7
18,NA,3.5,NA,,,,NA,,,,,,3.31,MSU.0,2.7
NA,NA,2,201370,M,121Q,C,NA,,,,,,2.8,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
NA,600,NA,201530,M,121Q,A,NA,,,,,,4,MSU.0,2.7
20,NA,NA,201530,M,161Q,B,NA,,,,,,2.5,MSU.0,2.7
27,NA,NA,201470,M,161Q,A,NA,,,,,,3.16,MSU.0,2.7
27,NA,NA,201470,M,161Q,A,NA,,,,,,3.16,MSU.0,2.7
26,NA,3,201470,M,161Q,C+,NA,,,,,,2.92,MSU.0,2.7
26,NA,3,201470,M,161Q,C+,NA,,,,,,2.92,MSU.0,2.7
26,NA,3,201470,M,161Q,C+,NA,,,,,,2.92,MSU.0,2.7
22,NA,3,201470,M,151Q,C,NA,,,,,,3,MSU.0,2.7
22,NA,3,201470,M,151Q,C,NA,,,,,,3,MSU.0,2.7
NA,NA,NA,200030,MATH,170M,B-,NA,,,,,,2.7,MSU.0,2.7
NA,460,NA,201430,M,121Q,B+,NA,,,,,,2.27,MSU.0,2.7
NA,370,3,201470,M,161Q,C,NA,,,,,,2.7,MSU.0,2.7
NA,500,3,201470,M,161Q,B,NA,,,,,,2.78,MSU.0,2.7
NA,500,3,201470,M,161Q,B,NA,,,,,,2.78,MSU.0,2.7
NA,500,3,201470,M,161Q,B,NA,,,,,,2.78,MSU.0,2.7
25,590,NA,NA,,,,NA,,,,,,3.65,MSU.0,2.7
25,590,NA,NA,,,,NA,,,,,,3.65,MSU.0,2.7
23,580,NA,201270,M,171Q,C,NA,,,,,,3.03,MSU.0,2.7
NA,440,NA,201470,M,161Q,B,NA,,,,,,3.16,MSU.0,2.7
NA,440,NA,201470,M,161Q,B,NA,,,,,,3.16,MSU.0,2.7
NA,NA,NA,201470,M,121Q,B,NA,,,,,,3.43,MSU.0,2.7
NA,NA,NA,201470,M,121Q,B,NA,,,,,,3.43,MSU.0,2.7
NA,NA,NA,201470,M,121Q,B,NA,,,,,,3.43,MSU.0,2.7
NA,NA,NA,201470,M,121Q,B,NA,,,,,,3.43,MSU.0,2.7
NA,NA,NA,201470,M,121Q,B,NA,,,,,,3.43,MSU.0,2.7
NA,NA,NA,201470,M,121Q,B,NA,,,,,,3.43,MSU.0,2.7
23,NA,4,201430,M,166Q,C+,NA,,,,,,2.72,MSU.0,2.7
23,NA,4,201430,M,166Q,C+,NA,,,,,,2.72,MSU.0,2.7
21,NA,NA,201330,M,161Q,B+,NA,,,,,,2.68,MSU.0,2.7
21,NA,NA,201330,M,161Q,B+,NA,,,,,,2.68,MSU.0,2.7
21,NA,NA,201330,M,161Q,B+,NA,,,,,,2.68,MSU.0,2.7
27,NA,NA,201470,M,166Q,A,NA,,,,,,3.31,MSU.0,2.7
22,490,NA,201470,M,171Q,B,NA,,,,,,3.28,MSU.0,2.7
26,700,NA,201330,M,161Q,C,NA,,,,,,2.89,MSU.0,2.7
26,700,NA,201330,M,161Q,C,NA,,,,,,2.89,MSU.0,2.7
20,NA,2,201450,M,121Q,B,NA,,,,,,3.13,MSU.0,3.3
22,NA,3.5,NA,,,,NA,,,,,,3.25,MSU.0,3.3
28,630,NA,201370,M,121Q,A,NA,,,,,,3.61,MSU.0,3.3
28,630,NA,201370,M,121Q,A,NA,,,,,,3.61,MSU.0,3.3
NA,590,NA,NA,,,,NA,,,,,,2.24,MSU.0,3.3
NA,540,1,201470,M,161Q,C+,NA,,,,,,2.7,MSU.0,3.3
17,440,4,NA,,,,NA,,,,,,3.15,MSU.0,3.3
17,440,4,NA,,,,NA,,,,,,3.15,MSU.0,3.3
20,NA,NA,201430,M,166Q,A,NA,,,,,,3.38,MSU.0,3.3
25,570,NA,NA,,,,NA,,,,TP,,1.93,MSU.0,3.3
25,570,NA,NA,,,,NA,,,,TP,,1.93,MSU.0,3.3
25,570,NA,NA,,,,NA,,,,TP,,1.93,MSU.0,3.3
19,NA,NA,NA,,,,NA,,,,,,3.07,MSU.0,3.3
19,NA,NA,NA,,,,NA,,,,,,3.07,MSU.0,3.3
23,NA,NA,201370,M,171Q,B,NA,,,,,,2.92,MSU.0,3.3
23,NA,NA,201370,M,171Q,B,NA,,,,,,2.92,MSU.0,3.3
23,NA,NA,201370,M,171Q,B,NA,,,,,,2.92,MSU.0,3.3
24,NA,NA,NA,,,,NA,,,,,,3.58,MSU.0,3.3
24,NA,NA,NA,,,,NA,,,,,,3.58,MSU.0,3.3
24,NA,NA,NA,,,,NA,,,,,,3.58,MSU.0,3.3
NA,560,3.5,NA,,,,NA,,,,,,2.72,MSU.0,3.3
NA,560,3.5,NA,,,,NA,,,,,,2.72,MSU.0,3.3
28,700,NA,201470,M,172Q,B-,NA,,,,,,2.96,MSU.0,3.3
28,700,NA,201470,M,172Q,B-,NA,,,,,,2.96,MSU.0,3.3
28,700,NA,201470,M,172Q,B-,NA,,,,,,2.96,MSU.0,3.3
28,700,NA,201470,M,172Q,B-,NA,,,,,,2.96,MSU.0,3.3
NA,NA,NA,NA,,,,NA,,,,,,3.83,MSU.0,3.3
NA,NA,NA,NA,,,,NA,,,,,,3.83,MSU.0,3.3
NA,630,1,201370,M,121Q,A,NA,,,,,,3.61,MSU.0,3.3
NA,630,1,201370,M,121Q,A,NA,,,,,,3.61,MSU.0,3.3
NA,680,NA,201530,M,161Q,A,NA,,,,,,3.35,MSU.0,3.3
NA,680,NA,201530,M,161Q,A,NA,,,,,,3.35,MSU.0,3.3
32,NA,NA,201470,M,121Q,A,NA,,,,,,3.53,MSU.0,3.3
32,NA,NA,201470,M,121Q,A,NA,,,,,,3.53,MSU.0,3.3
23,NA,NA,201530,M,221,B-,NA,,,,TP,,3.08,MSU.0,3.3
23,NA,NA,201530,M,221,B-,NA,,,,TP,,3.08,MSU.0,3.3
23,NA,NA,201530,M,221,B-,NA,,,,TP,,3.08,MSU.0,3.3
22,NA,4,201470,M,161Q,B,NA,,,,,,2.53,MSU.0,3.3
22,NA,4,201470,M,161Q,B,NA,,,,,,2.53,MSU.0,3.3
22,NA,4,201470,M,161Q,B,NA,,,,,,2.53,MSU.0,3.3
16,NA,NA,201330,M,171Q,B,NA,,,,,,3.29,MSU.0,3.3
25,NA,NA,201470,M,121Q,C+,NA,,,,,,3,MSU.0,2
25,NA,NA,201470,M,121Q,C+,NA,,,,,,3,MSU.0,2
NA,610,3,NA,,,,NA,,,,,,1.94,MSU.0,2
NA,610,3,NA,,,,NA,,,,,,1.94,MSU.0,2
25,NA,NA,NA,,,,NA,,,,,,2.95,MSU.0,2
25,NA,NA,NA,,,,NA,,,,,,2.95,MSU.0,2
25,NA,NA,NA,,,,NA,,,,,,2.95,MSU.0,2
25,NA,NA,NA,,,,NA,,,,,,2.95,MSU.0,2
20,NA,1,201370,M,65,A*,NA,,,,,,2.19,MSU.0,2
20,NA,1,201370,M,65,A*,NA,,,,,,2.19,MSU.0,2
21,NA,NA,NA,,,,NA,,,,,,3.27,MSU.0,2
21,NA,NA,NA,,,,NA,,,,,,3.27,MSU.0,2
NA,380,1,201470,M,121Q,C,NA,,,,,,2.12,MSU.0,2
NA,380,1,201470,M,121Q,C,NA,,,,,,2.12,MSU.0,2
NA,NA,4,201330,M,161Q,B,NA,,,,,,2.78,MSU.0,2
NA,NA,4,201330,M,161Q,B,NA,,,,,,2.78,MSU.0,2
NA,NA,4,201330,M,161Q,B,NA,,,,,,2.78,MSU.0,2
NA,660,1,201530,M,161Q,C,NA,,,,,,2.94,MSU.0,2
NA,410,3,201470,M,121Q,B+,NA,,,,,,3.25,MSU.0,2
19,430,NA,201270,M,121Q,A,NA,,,,,,2.66,MSU.0,2
19,430,NA,201270,M,121Q,A,NA,,,,,,2.66,MSU.0,2
19,430,NA,201270,M,121Q,A,NA,,,,,,2.66,MSU.0,2
NA,490,3,201370,M,121Q,C,NA,,,,,,2.43,MSU.0,2
NA,490,3,201370,M,121Q,C,NA,,,,,,2.43,MSU.0,2
19,NA,2,201470,M,161Q,C,NA,,,,,,2.28,MSU.0,2
NA,NA,3,201370,M,121Q,C+,NA,,,,,,2.17,MSU.0,2
NA,NA,3,201370,M,121Q,C+,NA,,,,,,2.17,MSU.0,2
21,550,3,201370,M,121Q,B+,NA,,,,,,2.54,MSU.0,2
21,550,3,201370,M,121Q,B+,NA,,,,,,2.54,MSU.0,2
21,550,3,201370,M,121Q,B+,NA,,,,,,2.54,MSU.0,2
21,550,3,201370,M,121Q,B+,NA,,,,,,2.54,MSU.0,2
19,NA,NA,201470,M,161Q,B+,NA,,,,,,3.47,MSU.0,2
19,NA,NA,201470,M,161Q,B+,NA,,,,,,3.47,MSU.0,2
21,NA,2,201470,M,161Q,C,NA,,,,,,2.95,MSU.0,2
21,NA,2,201470,M,161Q,C,NA,,,,,,2.95,MSU.0,2
21,NA,2,201470,M,161Q,C,NA,,,,,,2.95,MSU.0,2
21,NA,2,201470,M,161Q,C,NA,,,,,,2.95,MSU.0,2
NA,NA,NA,201330,M,161Q,C,NA,,,,,,2.23,MSU.0,2
NA,NA,NA,201330,M,161Q,C,NA,,,,,,2.23,MSU.0,2
NA,600,5,201270,M,171Q,B-,NA,,,,TP,,2.79,MSU.0,2
NA,600,5,201270,M,171Q,B-,NA,,,,TP,,2.79,MSU.0,2
22,520,NA,201430,M,121Q,C,NA,,,,,,1.68,MSU.0,2
22,520,NA,201430,M,121Q,C,NA,,,,,,1.68,MSU.0,2
22,520,NA,201430,M,121Q,C,NA,,,,,,1.68,MSU.0,2
23,NA,NA,201470,M,145Q,B,NA,,,,,,3.13,MSU.0,2
20,370,NA,201470,M,121Q,B,NA,,,,,,1.69,MSU.0,2
20,370,NA,201470,M,121Q,B,NA,,,,,,1.69,MSU.0,2
20,370,NA,201470,M,121Q,B,NA,,,,,,1.69,MSU.0,2
20,NA,NA,201370,M,121Q,C,NA,,,,,,2.46,MSU.0,2
20,NA,NA,201370,M,121Q,C,NA,,,,,,2.46,MSU.0,2
20,NA,NA,201370,M,121Q,C,NA,,,,,,2.46,MSU.0,2
20,NA,NA,201370,M,121Q,C,NA,,,,,,2.46,MSU.0,2
20,NA,NA,201370,M,121Q,C,NA,,,,,,2.46,MSU.0,2
21,NA,2,200870,MATH,149Q,B,NA,,,,,,2.77,MSU.0,2
23,NA,NA,NA,,,,NA,,,,,,2.28,MSU.0,2
27,NA,3,201450,M,161Q,B+,NA,,,,,,2.46,MSU.0,2
27,NA,3,201450,M,161Q,B+,NA,,,,,,2.46,MSU.0,2
27,NA,3,201450,M,161Q,B+,NA,,,,,,2.46,MSU.0,2
27,NA,3,201450,M,161Q,B+,NA,,,,,,2.46,MSU.0,2
27,NA,3,201450,M,161Q,B+,NA,,,,,,2.46,MSU.0,2
21,NA,NA,201430,M,121Q,B+,NA,,,,,TF,2.93,MSU.0,2
21,NA,NA,201430,M,121Q,B+,NA,,,,,TF,2.93,MSU.0,2
21,NA,NA,201430,M,121Q,B+,NA,,,,,TF,2.93,MSU.0,2
21,NA,NA,201430,M,121Q,B+,NA,,,,,TF,2.93,MSU.0,2
19,NA,3,201470,M,121Q,B,NA,,,,,,2.8,MSU.0,2
22,470,3,201470,M,161Q,B,NA,,,,,,3.12,MSU.0,2
22,470,3,201470,M,161Q,B,NA,,,,,,3.12,MSU.0,2
22,470,3,201470,M,161Q,B,NA,,,,,,3.12,MSU.0,2
22,470,3,201470,M,161Q,B,NA,,,,,,3.12,MSU.0,2
22,470,3,201470,M,161Q,B,NA,,,,,,3.12,MSU.0,2
21,NA,NA,201470,M,121Q,B,NA,,,,,,3,MSU.0,2
21,NA,NA,201470,M,121Q,B,NA,,,,,,3,MSU.0,2
23,560,NA,201470,M,121Q,C,NA,,,,,TF,1.84,MSU.0,2
23,560,NA,201470,M,121Q,C,NA,,,,,TF,1.84,MSU.0,2
NA,NA,1,201530,M,151Q,B,NA,,,,,,3.29,MSU.0,2
21,570,1,201430,M,151Q,C,NA,,,,,,3.19,MSU.0,2
21,570,1,201430,M,151Q,C,NA,,,,,,3.19,MSU.0,2
19,NA,NA,201330,M,221,C,NA,,,,,,3.23,MSU.0,2
19,NA,NA,201330,M,221,C,NA,,,,,,3.23,MSU.0,2
19,NA,NA,201330,M,221,C,NA,,,,,,3.23,MSU.0,2
24,590,4,NA,,,,NA,,,,,,1.5,MSU.0,2
31,NA,NA,201370,M,161Q,C+,NA,,,,,,2.43,MSU.0,2
31,NA,NA,201370,M,161Q,C+,NA,,,,,,2.43,MSU.0,2
